Customer,Teller,Start Time,End Time
2,3,1716132031.3061829,1716132032.447926
3,2,1716132031.3061829,1716132032.975719
9,3,1716132032.447926,1716132033.936562
1,1,1716132031.3061829,1716132034.3689728
10,2,1716132032.975719,1716132034.9639192
7,3,1716132033.936562,1716132036.7947228
4,1,1716132034.3691015,1716132037.4488034
6,2,1716132034.9639192,1716132038.3743336
8,3,1716132036.7947228,1716132040.8009772
5,1,1716132037.4488034,1716132042.179187
