Customer ID,Arrival Time,Start Time,End Time,Teller ID,Turnaround Time,Waiting Time,Response Time
1,1716218627.6278136,1716218627.6278136,1716218629.6344757,1,2.006662130355835,0.0,0.0
4,1716218629.8204958,1716218629.8204958,1716218630.8246653,1,1.0041694641113281,0.0,0.0
2,1716218628.321442,1716218628.321442,1716218631.3293252,2,3.007883310317993,0.0,0.0
3,1716218628.895426,1716218628.895426,1716218633.8987725,3,5.0033464431762695,0.0,0.0
5,1716218630.606126,1716218630.8246653,1716218634.828092,1,4.221966028213501,0.21853923797607422,0.21853923797607422
7,1716218632.985321,1716218633.8987725,1716218634.9314785,3,1.946157455444336,0.9134514331817627,0.9134514331817627
6,1716218631.6688821,1716218631.6688821,1716218635.7005339,2,4.031651735305786,0.0,0.0
8,1716218633.7905822,1716218634.828092,1716218635.8306015,1,2.0400192737579346,1.0375099182128906,1.0375099182128906
10,1716218635.5989194,1716218635.7005339,1716218637.7213879,2,2.1224684715270996,0.10161447525024414,0.10161447525024414
9,1716218634.3280299,1716218634.9324772,1716218637.9474518,3,3.61942195892334,0.6044473648071289,0.6044473648071289
11,1716218636.2491677,1716218636.2491677,1716218639.2500043,1,3.0008366107940674,0.0,0.0
12,1716218636.9784741,1716218637.7213879,1716218640.731269,2,3.7527947425842285,0.7429137229919434,0.7429137229919434
13,1716218637.6707625,1716218637.9474518,1716218641.9520826,3,4.281320095062256,0.2766892910003662,0.2766892910003662
15,1716218639.711781,1716218640.731269,1716218642.7383168,2,3.026535749435425,1.0194878578186035,1.0194878578186035
14,1716218638.4637764,1716218639.2500043,1716218643.2597775,1,4.796001195907593,0.7862279415130615,0.7862279415130615
